id,activityName,activityType,startTime,distance,elevationGain,avgSpeed,avgHR,maxHR,calories,totalMins,activityLevel
0,Indoor Cardio,Cardio,2016-08-12 19:42:00,0.0,0.0,0.0,125.0,150.0,344,30.08,Light
1,Running,Running,2016-08-12 18:59:00,7.16,0.0,5.47,142.0,163.0,583,41.27,Moderate
2,Strength Training,Strength Training,2016-08-11 20:26:00,0.0,0.0,0.0,113.0,157.0,901,94.33,Very Light
3,Running,Running,2016-08-09 20:55:00,6.3,0.0,6.13,135.0,157.0,503,39.09,Moderate
4,Indoor Cardio,Cardio,2016-08-08 21:35:00,1.76,0.0,0.0,123.0,175.0,389,35.19,Light
5,Indoor Cardio,Cardio,2016-08-08 20:36:00,2.56,0.0,0.0,108.0,148.0,452,51.25,Very Light
6,Running,Running,2016-08-06 20:46:00,4.5,0.0,5.39,139.0,156.0,346,25.24,Moderate
7,Indoor Cardio,Cardio,2016-08-06 20:22:00,0.0,0.0,0.0,111.0,147.0,194,21.01,Very Light
8,Indoor Cardio,Cardio,2016-08-06 19:55:00,0.0,0.0,0.0,117.0,149.0,244,23.56,Light
9,Running,Running,2016-08-06 19:31:00,3.87,0.0,6.0,134.0,155.0,299,23.11,Moderate
10,Strength Training,Strength Training,2016-08-05 20:39:00,0.0,0.0,0.0,121.0,175.0,926,84.17,Light
11,Running,Running,2016-08-03 20:51:00,5.81,0.0,6.19,148.0,173.0,559,36.43,Moderate
12,Running,Running,2016-08-03 20:41:00,1.15,0.0,5.49,121.0,137.0,70,6.42,Light
13,Running,Running,2016-08-02 21:54:00,1.41,0.0,5.21,139.0,163.0,100,7.31,Moderate
14,Strength Training,Strength Training,2016-08-02 20:35:00,0.0,0.0,0.0,105.0,149.0,661,78.08,Very Light
15,Indoor Cardio,Cardio,2016-07-30 20:35:00,0.0,0.0,0.0,101.0,131.0,134,17.11,Very Light
16,Strength Training,Strength Training,2016-07-28 19:26:00,0.0,0.0,0.0,114.0,167.0,833,83.18,Light
17,Strength Training,Strength Training,2016-07-27 21:17:00,0.0,0.0,0.0,124.0,152.0,483,41.1,Light
18,Running,Running,2016-07-26 20:41:00,6.39,0.0,5.32,147.0,166.0,541,35.2,Moderate
19,Strength Training,Strength Training,2016-07-25 20:47:00,0.0,0.0,0.0,112.0,147.0,717,74.11,Very Light
20,Strength Training,Strength Training,2016-07-23 20:13:00,0.0,0.0,0.0,123.0,178.0,1341,116.35,Light
21,Indoor Cardio,Cardio,2016-07-22 20:50:00,0.0,0.0,0.0,111.0,135.0,359,37.41,Very Light
22,Strength Training,Strength Training,2016-07-20 21:06:00,0.0,0.0,0.0,121.0,157.0,710,63.28,Light
23,Strength Training,Strength Training,2016-07-19 20:26:00,0.0,0.0,0.0,116.0,166.0,1000,97.07,Light
24,Strength Training,Strength Training,2016-07-18 20:51:00,0.0,0.0,0.0,124.0,163.0,860,73.57,Light
25,Strength Training,Strength Training,2016-07-16 20:41:00,0.0,0.0,0.0,113.0,154.0,651,65.58,Very Light
26,Strength Training,Strength Training,2016-07-15 20:22:00,0.0,0.0,0.0,108.0,176.0,812,95.06,Very Light
27,Strength Training,Strength Training,2016-07-14 20:39:00,0.0,0.0,0.0,123.0,183.0,962,83.44,Light
28,Running,Running,2016-07-13 21:17:00,4.91,0.0,6.45,141.0,159.0,476,33.07,Moderate
29,Indoor Cardio,Cardio,2016-07-13 20:31:00,0.0,0.0,0.0,94.0,142.0,200,29.46,Very Light
30,Indoor Cardio,Cardio,2016-07-12 20:46:00,0.0,0.0,0.0,118.0,165.0,539,50.1,Light
31,Indoor Cardio,Cardio,2016-07-11 21:19:00,0.0,0.0,0.0,110.0,143.0,241,25.48,Very Light
32,Indoor Cardio,Cardio,2016-07-11 20:42:00,0.0,0.0,0.0,105.0,144.0,165,19.31,Very Light
33,Running,Running,2016-07-11 20:29:00,2.25,0.0,5.42,133.0,153.0,163,12.5,Moderate
34,Strength Training,Strength Training,2016-07-09 18:35:00,0.0,0.0,0.0,118.0,158.0,887,82.42,Light
35,Strength Training,Strength Training,2016-07-08 18:41:00,0.0,0.0,0.0,112.0,133.0,587,60.05,Very Light
36,Strength Training,Strength Training,2016-07-07 11:05:00,0.0,0.0,0.0,122.0,175.0,1250,109.19,Light
37,Strength Training,Strength Training,2016-07-06 21:50:00,0.0,0.0,0.0,93.0,142.0,407,61.54,Very Light
38,Strength Training,Strength Training,2016-07-05 20:10:00,0.0,0.0,0.0,100.0,134.0,674,86.26,Very Light
39,Strength Training,Strength Training,2016-07-05 18:50:00,0.0,0.0,0.0,113.0,160.0,674,67.58,Very Light
40,Strength Training,Strength Training,2016-07-04 20:42:00,0.0,0.0,0.0,118.0,157.0,1405,130.45,Light
41,Strength Training,Strength Training,2016-07-02 13:20:00,0.0,0.0,0.0,113.0,146.0,1046,107.08,Very Light
