Year,Month,Mileage
2012,1,0.0
2012,2,0.0
2012,3,0.0
2012,4,0.0
2012,5,0.0
2012,6,0.0
2012,7,0.0
2012,8,0.0
2012,9,0.0
2012,10,14.33
2012,11,0.0
2012,12,0.0
2013,1,0.0
2013,2,9.86
2013,3,30.62
2013,4,0.0
2013,5,15.67
2013,6,0.0
2013,7,0.0
2013,8,0.0
2013,9,0.0
2013,10,0.0
2013,11,0.0
2013,12,21.55
2014,1,21.6
2014,2,0.0
2014,3,45.76
2014,4,55.97
2014,5,20.91
2014,6,0.0
2014,7,0.0
2014,8,15.0
2014,9,23.72
2014,10,64.34
2014,11,78.04
2014,12,67.59
2015,1,42.0
2015,2,28.36
2015,3,6.57
2015,4,11.43
2015,5,0.0
2015,6,20.83
2015,7,40.11
2015,8,0.0
2015,9,31.99
2015,10,159.95
2015,11,149.78
2015,12,129.3
2016,1,112.59
2016,2,35.04
2016,3,46.4
2016,4,40.44
2016,5,25.23
2016,7,13.55
2016,8,43.51
2016,9,40.09
